All,Todos
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","El pago se ha realizado mediante tarjeta de crédito. Para recibir los fondos el vendedor tiene que actualizar la cuenta a estado Business o Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Lo sentimos, pero algo salió mal. Por favor, póngase en contacto con servicio al cliente de PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Se ha producido una revocación en esta transacción a causa de una cancelación de cargo por parte del cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Se ha producido una revocación en esta transacción a causa de que el cliente ha puesto en marcha la garantía de devolución del dinero."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Se ha producido una revocación en esta transacción a causa de una queja acerca de la misma por parte del cliente."
"A reversal has occurred on this transaction because you have given the customer a refund.","Se ha producido una revocación en esta transacción porque ha efectuado un reembolso al cliente."
"Reversal of an adjustment.","Revocación de un ajuste."
"Transaction reversal due to fraud detected by PayPal administrators.","Los administradores de PayPal han revocado la transacción a causa de la detección de fraude."
"Transaction reversal by PayPal administrators.","Revocación de la transacción por parte de los administradores de PayPal."
"Reimbursement for a chargeback.","Devolución o reembolso."
"Settlement of a chargeback.","Liquidación de una transacción devuelta."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Se ha producido una revocación en esta transacción a causa de un conflicto con un cliente que sospecha que se le ha engañado sin su autorización."
"Buyer claims that he did not receive goods or service.","El comprador reclama que no recibió los artículos o el servicio."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","El comprador reclama que los artículos o el servicio recibido difieren de la descripción proporcionada por el minorista de los artículos o del servicio."
"Buyer claims that he/she did not authorize transaction.","El comprador reclama que no autorizó la transacción."
"A case that has been resolved and close requires a reimbursement.","Un caso que se ha resuelto y cerrado requiere un reembolso."
"Buyer claims that a possible duplicate payment was made to the merchant.","El comprador reclama que se ha efectuado un posible pago duplicado al minorista."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","El comprador reclama que la mercancía que ha recibido es insatisfactoria, defectuosa o está dañada."
"Unknown reason. Please contact PayPal customer service.","Razones desconocidas. Por favor, contacte el servicio de atención al cliente de PayPal."
"Payer ID","Id. del pagador"
"Payer Email","Correo electrónico del pagador"
"Payer Status","Situación del comprador"
"Payer Address ID","Id. de dirección del pagador"
"Payer Address Status","Estado de la dirección del comprador"
"Merchant Protection Eligibility","Requisitos de protección de mercado"
"Triggered Fraud Filters","Filtros de Fraude Desencadenados"
"Last Correlation ID","Última Identificación de Correlación"
"Address Verification System Response","Respuesta del sistema de verificación de dirección"
"CVV2 Check Result by PayPal","Resultado de comprobación CVV2 por PayPal"
"AVS Street Match","Coincidencia AVS de Calle"
"AVS zip","Zip AVS"
"International AVS response","Respuesta internacional AVS"
"Buyer's Tax ID","Tax ID de comprador"
"Buyer's Tax ID Type","Tipo de identificación fiscal del comprador"
Chargeback,"Devolución del importe"
Complaint,Reclamación
Dispute,Conflicto
"Matched Address only (no ZIP)","Sólo dirección correspondiente (no CP)"
"Matched Address only (no ZIP) International","Una coincidencia de dirección única (sin código postal) internacional"
"No Details matched","No ha habido coincidencias"
"No Details matched. International","Los detalles no coinciden. Internacional"
"Exact Match.","Coincidencia exacta."
"Exact Match. Address and Postal Code. International","Coincidencia exacta. Dirección y Código Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Coincidencia exacta. Dirección y Código Postal. Específico para Reino Unido"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. No disponible para transacciones MOTO (Internet/móvil)"
"N/A. Global Unavailable","No disponible. Global no disponible."
"N/A. International Unavailable","No disponible. Internacional no disponible."
"Matched five-digit ZIP only (no Address)","Sólo Encaja el Código Postal de cinco dígitos (no la Dirección)"
"Matched Postal Code only (no Address)","Sólo Encaja el Código Postal (no la Dirección)"
"N/A. Retry","No disponible. Vuelva a intentar."
"N/A. Service not Supported","N/A. Servicio no disponible."
"N/A. Unavailable","No disponible. No disponible."
"Matched whole nine-digit ZIP (no Address)","Sólo Encaja el Código Postal de nueve dígitos (no la Dirección)"
"Yes. Matched Address and five-digit ZIP","Sí. La dirección y el código postal de cinco dígitos coinciden"
"All the address information matched","Coincide toda la información de dirección"
"None of the address information matched","Ninguna información de la dirección coincide"
"Part of the address information matched","Parte de la información de la dirección coincidió"
"N/A. The merchant did not provide AVS information","N/A. El comerciante no ha proporcionado la información AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","No disponible. No se ha comprobado la dirección o el usuario no obtuvo respuesta. Servicio no disponible."
"Matched (CVV2CSC)","CVV2CSC coincidentes."
"No match","No ha habido coincidencias"
"N/A. Not processed","No disponible. No procesado."
"N/A. Service not supported","N/A. Servicio no operativo"
"N/A. Service not available","No disponible. Servicio no disponible."
"N/A. No response","No disponible. Sin respuesta."
"Matched (CVV2)","Emparejado (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","No disponible. El comerciante no ha implementado la gestión del código CVV2."
"N/A. Merchant has indicated that CVV2 is not present on card","No disponible. El comerciante ha notificado que su tarjeta no tiene CVV2."
"Note: %1","Nota: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tipo de caso ""%2"". ID de caso ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Se ha resuelto y cerrado un conflicto. %2 Cantidad de la transacción %3."
"You notified customer about invoice #%1.","Cliente notificado de la factura #%1."
"We cannot cancel this order.","No podemos cancelar este pedido."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 La cantidad de la transacción es %3. ID de la transacción: ""%4"""
"You notified customer about creditmemo #%1.","Se le ha notificado al ciente sobre la nota de crédito #%1."
"Unable to fetch transaction details.","No se puede obtener detalles de la transacción."
"Invalid method %1::%2","Método inválido %1::%2"
"Transaction has been declined","La operación ha sido declinada"
"Error processing payment. Please try again later.","Error al procesar el pago, por favor inténtalo más tarde."
"We cannot send the new order email.","No podemos enviar el email de nueva orden."
"Payment error. %value was not found.","Error de pago. No se encontró %value ."
"You cannot void a verification transaction.","No se puede anular una operación de comprobación."
"You need an authorization transaction to void.","Necesita una transacción de autorización para anular."
"We can't issue a refund transaction because there is no capture transaction.","No podemos emitir una transacción de reembolso porque no hay ninguna operación de captura."
"We cannot create a target file for reading reports.","No podemos crear un archivo de destino para la lectura de informes."
"Report Date","Fecha del informe"
"Merchant Account","Cuenta del comerciante"
"Invoice ID","Identificación de la Factura"
"PayPal Reference ID","Id. de referencia de PayPal"
"PayPal Reference ID Type","Tipo de Id. de referencia de PayPal"
"Event Code","Código de evento"
"Finish Date","Fecha de finalización"
"Debit or Credit","Débito o crédito"
"Gross Amount","Total bruto"
"Fee Debit or Credit","Comisión débito o crédito"
"Fee Amount","Importe de la comisión"
"Preapproved Payment ID","Identificación del Pago Pre-autorizado"
"Subscription ID","ID de Suscripción."
Debit,Débito
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (En espera por conflicto u otra investigación)"
"ACH Deposit (Reversal)","Depósito ACH (Revocación)"
